movie_id,avg_sentiment,median_sentiment,std_sentiment,max_sentiment,min_sentiment,positive_percentage,negative_percentage,sentiment_skew,engagement_level,revenue
459928,1.3,1.0,1.417744687875783,4,0,15.0,85.0,0.7242951995682323,0.2,6158
291351,2.2,2.0,1.6911534525287764,4,0,40.0,55.00000000000001,-0.1910393894733963,0.2,909000
13523,1.85,2.0,1.5898113095584647,4,0,25.0,65.0,0.0972438713944778,0.2,18755936
204082,2.15,2.0,1.3518505834595775,4,0,20.0,60.0,-0.2735268574683583,0.2,51695362
253414,1.8888888888888888,2.0,1.1967032904743342,4,0,11.11111111111111,77.77777777777779,-0.1744895850111951,0.09,3020664
287587,2.15,2.0,1.5256146302392355,4,0,30.0,60.0,-0.1691839829648486,0.2,108808
539892,2.7,3.0,1.307669683062202,4,0,40.0,45.0,-0.6412907648545532,0.2,368410
71552,1.85,2.0,1.194780314534852,4,0,15.0,80.0,0.2906688868850985,0.2,234989584
4944,2.1333333333333333,3.0,1.8208667044996885,4,0,40.0,46.666666666666664,-0.1979828869058142,0.15,163700000
522162,1.75,2.0,1.5771810295587505,4,0,25.0,70.0,0.2628568671267835,0.2,127400000
432301,2.7142857142857144,3.0,1.385051387833237,4,0,42.857142857142854,42.857142857142854,-0.770274164759227,0.07,17904202
340102,1.7,1.5,1.6462077633154328,4,0,25.0,65.0,0.2837786833454523,0.2,49169594
55931,2.65,3.0,1.4924811556599298,4,0,50.0,50.0,-0.5619639052324799,0.2,68000000
216015,2.55,3.0,1.5644487847162016,4,0,45.0,45.0,-0.5627465467553635,0.2,569651467
44603,2.25,2.0,1.3738631664034089,4,0,25.0,60.0,-0.3398354571516698,0.2,107000000
8066,1.0,1.0,1.0,2,0,0.0,100.0,0.0,0.04,8342132
643532,1.25,0.5,1.4448183276799889,4,0,15.0,85.0,0.7522235332178794,0.2,5040860
455558,1.55,2.0,1.2835497652993435,4,0,10.0,85.0,0.1727237624581634,0.2,200229
64685,2.25,2.0,1.5451537140362444,4,0,35.0,60.0,-0.2592127608865386,0.2,55200000
227159,1.95,2.0,1.6575584454250776,4,0,30.0,60.0,0.0136688760122187,0.2,107645357
244517,3.0,3.0,0.0,3,3,0.0,0.0,,0.01,169976
6947,1.7222222222222223,2.0,1.1928283640879938,4,0,11.11111111111111,83.33333333333334,0.1547773395009926,0.18,256700000
266647,2.05,2.0,1.243985530462473,4,0,15.0,70.0,-0.250510682273207,0.2,128388320
1979,2.75,3.5,1.479019945774904,4,0,50.0,40.0,-0.7707806803124071,0.2,301913131
970450,1.9166666666666667,1.5,1.7057907908715602,4,0,33.33333333333333,58.333333333333336,0.1298865425257941,0.12,1052998
2270,3.75,4.0,0.4330127018922193,4,3,75.0,0.0,-1.1547005383792517,0.04,137500000
590995,1.55,2.0,1.2835497652993435,4,0,5.0,75.0,0.0308561957574131,0.2,2300000
9262,2.2,2.0,1.6911534525287764,4,0,40.0,55.00000000000001,-0.1910393894733963,0.2,7926601
236751,2.0,2.0,1.5491933384829668,4,0,20.0,53.333333333333336,-0.2151657414559676,0.15,101300000
431530,1.75,2.0,1.699264546796643,4,0,25.0,60.0,0.1490331530332694,0.2,130560428
2959,1.55,1.0,1.6575584454250778,4,0,25.0,70.0,0.4721526208076028,0.2,69307224
374052,2.55,4.0,1.7168284713389397,4,0,55.00000000000001,45.0,-0.529558031289209,0.2,228894
2309,3.0,4.0,1.4142135623730951,4,0,55.00000000000001,25.0,-1.2727922061357857,0.2,62803180
30250,2.45,2.0,1.2835497652993435,4,0,30.0,55.00000000000001,-0.3145913291589139,0.2,1134837
13207,2.45,2.0,1.2031209415515964,4,0,30.0,60.0,-0.0546936775312281,0.2,91509154
399170,4.0,4.0,0.0,4,4,100.0,0.0,,0.01,48453605
13812,3.0,3.0,0.0,3,3,0.0,0.0,,0.01,40855419
3563,4.0,4.0,0.0,4,4,100.0,0.0,,0.03,187134117
16577,1.8,2.0,1.6,4,0,20.0,60.0,0.0351562500000001,0.2,19551067
14299,2.8,3.0,1.32664991614216,4,0,45.0,40.0,-0.78632788159769,0.2,8880045
614205,1.6666666666666667,2.0,1.4907119849998598,4,0,22.22222222222222,77.77777777777779,0.3801315561749638,0.09,120818
84288,2.2,2.0,1.7204650534085253,4,0,45.0,55.00000000000001,-0.075403873779775,0.2,66167
251321,2.15,2.0,1.3518505834595775,4,0,25.0,65.0,-0.0306617232012253,0.2,53086
193612,2.5,3.0,1.6583123951777,4,0,50.0,50.0,-0.4933822002181586,0.04,17834867
209262,2.1,2.0,1.445683229480096,4,0,25.0,60.0,-0.075459759694481,0.2,1412181
610253,2.0,2.0,1.51657508881031,4,0,25.0,65.0,-0.0860061487037983,0.2,133423964
98548,2.7,3.0,1.3820274961085257,4,0,40.0,40.0,-0.8160103140313492,0.2,12434778
282813,1.65,2.0,1.388344337691482,4,0,10.0,70.0,0.0809967374914259,0.2,16861137
299054,1.6,2.0,1.3928388277184118,4,0,15.0,80.0,0.2931045678480662,0.2,37917985
9616,2.35,2.0,1.4585952145814822,4,0,35.0,55.00000000000001,-0.2341966547291911,0.2,11600000
76338,1.95,2.0,1.532155344604456,4,0,25.0,65.0,0.000625567411979,0.2,644783140
454992,2.05,2.0,1.243985530462473,4,0,20.0,75.0,0.0611666829189638,0.2,33562069
10024,2.7058823529411766,4.0,1.600173001027699,4,0,52.94117647058824,35.294117647058826,-0.7201129163426921,0.17,95714875
291870,2.0,2.0,1.6733200530681511,4,0,30.0,55.00000000000001,-0.0640301040714853,0.2,94100000
82675,3.2,4.0,0.9797958971132712,4,2,60.0,40.0,-0.4082482904638635,0.05,376100000
560008,2.7,3.5,1.5524174696260025,4,0,50.0,40.0,-0.7761953705676404,0.2,1623809
493551,1.6,2.0,1.5297058540778354,4,0,20.0,75.0,0.3553557320452564,0.2,17506878
585378,0.6,0.0,1.2,3,0,0.0,80.0,1.5,0.05,131465
77950,2.55,2.0,0.9733961166965892,4,1,25.0,60.0,0.3472324546580246,0.2,282570682
13908,3.0,3.0,0.0,3,3,0.0,0.0,,0.01,43400000
320588,3.0,4.0,1.4142135623730951,4,0,58.82352941176471,29.411764705882355,-1.123051946590399,0.17,14659448
624860,2.0,2.0,1.6431676725154984,4,0,30.0,60.0,-0.0676200688277982,0.2,156497322
364733,2.5,2.0,1.2449899597988732,4,0,30.0,55.00000000000001,-0.38865451398508,0.2,12522
238603,2.5,3.0,1.6583123951777,4,0,50.0,50.0,-0.4933822002181586,0.04,45300000
26123,1.0,0.0,1.3038404810405295,4,0,10.0,90.0,1.0827741019021702,0.2,5021219
8922,2.5,2.5,1.4142135623730951,4,0,37.5,50.0,-0.397747564417433,0.08,59217789
47607,2.3076923076923075,3.0,1.5384615384615383,4,0,30.76923076923077,46.15384615384615,-0.3967499999999994,0.13,416498
152599,2.35,2.0,1.3518505834595775,4,0,30.0,60.0,-0.2880987655243867,0.2,5867686
9907,2.0,2.0,1.140175425099138,4,0,15.0,80.0,0.0,0.2,116755080
491926,2.45,2.0,1.4309088021254184,4,0,40.0,55.00000000000001,-0.2065850703869571,0.2,449753
98566,2.25,2.0,1.3738631664034089,4,0,25.0,60.0,-0.3398354571516698,0.2,485004754
22972,2.7,3.0,1.307669683062202,4,0,30.0,30.0,-1.0437745084871173,0.2,94882889
255798,1.65,1.0,1.7399712641305316,4,0,25.0,60.0,0.2604046536335786,0.2,604517
18240,2.375,2.0,1.4086784586980805,4,0,37.5,62.5,-0.1467282417144755,0.08,317400000
956842,2.05,2.0,1.5960889699512368,4,0,35.0,65.0,0.0658503655980061,0.2,42247783
830784,2.2,2.0,1.6309506430300091,4,0,35.0,55.00000000000001,-0.2544758762373696,0.2,104088441
480572,2.0,2.0,0.0,2,2,0.0,100.0,,0.03,87465
503616,2.55,2.5,1.532155344604456,4,0,45.0,50.0,-0.5532101146601642,0.2,72282227
412656,1.25,0.5,1.479019945774904,4,0,15.0,80.0,0.7707806803124071,0.2,26508132
309242,2.05,2.0,1.2835497652993435,4,0,15.0,65.0,-0.2351454918064931,0.2,130541
172533,1.75,1.5,1.7853571071357126,4,0,35.0,65.0,0.2734664634689995,0.2,343341
411019,1.9,2.0,1.4798648586948742,4,0,20.0,65.0,-0.0129593469830036,0.2,7123919
49953,1.5333333333333334,2.0,1.359738536958076,4,0,13.333333333333334,80.0,0.4070824103168795,0.15,71594792
912916,2.8,4.0,1.6,4,0,60.0,40.0,-0.8437499999999996,0.1,168000
16167,1.8,2.0,1.5684387141358125,4,0,25.0,70.0,0.1772774275346843,0.2,66456
949484,1.95,2.0,1.3955285736952865,4,0,25.0,70.0,0.3099023147598412,0.2,126540
64639,1.25,1.5,0.82915619758885,2,0,0.0,100.0,-0.4933822002181586,0.04,10324441
820525,2.15,2.0,1.4585952145814822,4,0,25.0,60.0,-0.2612658243160525,0.2,10644463
25,2.25,2.0,1.3369741957120935,4,0,30.0,70.0,-0.0863027990777037,0.2,97076152
653851,1.85,2.0,1.49248115565993,4,0,25.0,70.0,0.2574069915175668,0.2,20000000
12572,3.0,3.0,1.0,4,2,50.0,50.0,0.0,0.02,14600000
71859,1.8,2.0,1.4,4,0,20.0,75.0,0.249271137026239,0.2,10800000
502682,1.95,2.0,1.532155344604456,4,0,25.0,65.0,0.000625567411979,0.2,78720293
34081,2.142857142857143,2.5,1.406979685970872,4,0,21.428571428571427,50.0,-0.1004878678895125,0.14,68716
238636,0.0,0.0,0.0,0,0,0.0,100.0,,0.01,111928365
78698,2.2,2.0,1.6911534525287764,4,0,40.0,55.00000000000001,-0.1910393894733963,0.2,24719215
82693,1.3,0.0,1.584297951775486,4,0,20.0,80.0,0.7076418527160231,0.2,236412453
314095,2.0,2.0,2.0,4,0,50.0,50.0,0.0,0.02,8574339
817758,2.05,2.0,1.3592277219068185,4,0,25.0,75.0,0.028970522435496,0.2,29048571
54318,2.6,3.5,1.5937377450509227,4,0,50.0,45.0,-0.5899072687676863,0.2,103967384
44877,1.65,2.0,1.2359207094308275,4,0,10.0,80.0,0.2101576033351165,0.2,1163967
175528,2.35,2.0,1.1521718621802912,4,0,25.0,65.0,0.0740434107649881,0.2,22456509
1138194,2.25,2.5,1.6085707942145413,4,0,35.0,50.0,-0.2657863946192199,0.2,51913394
347031,2.75,3.0,1.3738631664034089,4,0,50.0,50.0,-0.5856738729635161,0.2,5800000
34134,2.55,2.0,1.2031209415515964,4,0,30.0,55.00000000000001,-0.4620969763071447,0.2,16441438
672741,2.5,3.0,1.5968719422671311,4,0,40.0,40.0,-0.6262242910851495,0.2,495268
115782,2.0,2.0,2.0,4,0,50.0,50.0,0.0,0.02,42100000
65057,1.5,1.0,1.5811388300841898,4,0,12.5,62.5,0.2846049894151541,0.08,177200000
7516,2.25,2.0,1.3369741957120935,4,0,25.0,60.0,-0.2118341431907273,0.2,57103895
225565,2.4,2.5,1.5937377450509227,4,0,40.0,50.0,-0.4476180783111586,0.2,45600000
11249,2.05,2.0,1.2835497652993435,4,0,20.0,70.0,0.0485896415950072,0.2,24829644
15801,2.4444444444444446,3.0,1.4614384931073228,4,0,33.33333333333333,44.44444444444444,-0.4777056626706188,0.18,44872
682507,2.4,2.0,1.4628738838327793,4,0,35.0,55.00000000000001,-0.4254843246714259,0.2,144353965
937278,2.55,3.0,1.5644487847162014,4,0,45.0,45.0,-0.5627465467553635,0.2,108961677
144340,3.0,3.0,0.9258200997725514,4,2,42.857142857142854,42.857142857142854,0.0,0.07,18637201
503706,1.0,0.0,1.449137674618944,4,0,15.0,85.0,1.182969530301179,0.2,68904
157825,1.375,0.5,1.653594569415369,4,0,25.0,75.0,0.7179165190186693,0.08,33821
522016,1.45,1.0,1.3219304066402289,4,0,15.0,85.0,0.692510467403122,0.2,55700000
26320,2.55,4.0,1.829617446353199,4,0,60.0,40.0,-0.5452969643577685,0.2,9975737
331962,1.4,1.0,1.4966629547095769,4,0,15.0,75.0,0.5512263114443755,0.2,269915
49047,2.05,2.0,1.6271140095272982,4,0,30.0,55.00000000000001,-0.0806098849372716,0.2,723192705
823482,2.65,3.0,1.4239030865898143,4,0,40.0,40.0,-0.7198740109451346,0.2,14114415
1120911,1.4,1.5,1.2806248474865698,4,0,10.0,85.0,0.5085170051738761,0.2,9802525
428449,1.5,1.0,1.5,4,0,15.0,70.0,0.4444444444444444,0.2,1929659
414453,2.272727272727273,2.0,1.4200453956193917,4,0,27.27272727272727,54.54545454545454,-0.2975283234506236,0.11,1015744
41436,1.75,2.0,1.299038105676658,4,0,15.0,80.0,0.1967267583905391,0.2,177512032
4551,2.0,2.0,1.378404875209022,4,0,20.0,65.0,0.0,0.2,95200000
451480,2.75,3.0,1.4448183276799889,4,0,45.0,35.0,-0.8516911078582603,0.2,23148937
91745,1.6,2.0,1.2806248474865698,4,0,10.0,80.0,0.205692271755725,0.2,3000000
14784,3.05,4.0,1.2835497652993435,4,0,60.0,35.0,-0.944483325310244,0.2,3984390
2621,3.1,4.0,1.3379088160259651,4,0,60.0,25.0,-1.3103080005897063,0.2,36600000
793285,1.65,2.0,1.4585952145814822,4,0,20.0,80.0,0.3308722603965555,0.2,1200000
680058,2.5,3.0,1.6278820596099706,4,0,50.0,50.0,-0.4172570604909857,0.2,946634
442065,2.45,2.0,1.4654350889752843,4,0,40.0,55.00000000000001,-0.3305506121028277,0.2,3364426
41479,2.2,2.5,1.469693845669907,4,0,25.0,50.0,-0.2532651431581376,0.2,7022728
331313,1.45,1.5,1.3592277219068185,4,0,15.0,85.0,0.5832930960466307,0.2,29900000
4512,2.0,2.0,1.632993161855452,4,0,33.33333333333333,66.66666666666666,0.0,0.06,14711793
11600,2.5,2.5,1.5,4,1,50.0,50.0,0.0,0.02,782102
520023,2.05,2.0,1.4654350889752843,4,0,25.0,65.0,-0.0865103620716121,0.2,13900000
227306,2.05,2.0,1.5960889699512368,4,0,30.0,60.0,-0.0817134788793179,0.2,163400000
361292,2.0,2.0,0.0,2,2,0.0,100.0,,0.04,7900000
339846,2.2,2.0,1.4352700094407325,4,0,30.0,65.0,-0.1501696399735335,0.2,177900000
10138,1.9,2.0,1.57797338380595,4,0,30.0,70.0,0.164921009775045,0.2,623933331
648579,2.05,2.0,1.7741194999210173,4,0,40.0,55.00000000000001,-0.021892747069995,0.2,29116320
13171,1.9166666666666667,2.0,1.656217242862649,4,0,33.33333333333333,66.66666666666666,0.1327309111024163,0.12,5178640
285923,2.15,2.0,1.620956507744733,4,0,35.0,60.0,-0.1727492552439385,0.2,25422088
68730,2.35,2.5,1.5898113095584645,4,0,40.0,50.0,-0.285385564994543,0.2,23834809
821427,2.2,2.5,1.7492855684535902,4,0,40.0,50.0,-0.2510828958949152,0.2,24322
73567,4.0,4.0,0.0,4,4,100.0,0.0,,0.01,4633668
340022,1.7,2.0,1.5198684153570663,4,0,20.0,70.0,0.2580537816595457,0.2,11001627
168098,1.6,2.0,1.4628738838327795,4,0,20.0,80.0,0.4254843246714256,0.2,1133031
