id,genres,original_title,overview,backdrop_path,poster_path,budget,release_date,revenue,runtime,year,trailer
614939,"Comedy, Romance",Bros,Two emotionally unavailable men attempt a relationship.,/mezKuuKtAKPENnAVlT3TghkMACv.jpg,/6iFBzZ3LjmlE83pHok03Z9QPkAB.jpg,22000000,2022-09-30,14800000,115,2022,BQIeBB9XMe8
872497,"Drama, Horror, Mystery",Resurrection,"A woman's carefully constructed life is upended when an unwelcome shadow from her past returns, forcing her to confront the monster she's evaded for two decades.",/sDzrUYdN9WWcuN9UFAp8dgdwtpn.jpg,/kfRr8Jm1gaEnLTXCIfHkSw8QW6t.jpg,0,2022-07-29,159780,104,2022,n6uIvEpxQ9o
829503,Drama,Gigi & Nate,A young man with a bright future suffers a near-fatal accident and recreates his new life with the help of an unlikely animal friend.,/dq9ShpvPDB7CmjgfPHHPUvshCLZ.jpg,/xP1GXV1gms9b5BpHZP7S8qs8FO.jpg,0,2022-09-02,2280590,114,2022,n_tgQ105coQ
828613,"Romance, Comedy",About Fate,"Two strangers believe in love but never seem to be able to find its true meaning. In a wild twist of events, fate puts each in the other's path on one stormy New Year's Eve.",/30COvn7g7PP58wBkrnnh7Ws9bJS.jpg,/fabZkaVHYJ67KbZx7oFoitauX34.jpg,0,2022-09-08,504843,100,2022,BVtN9rwoGpw
826680,"Drama, Family, Adventure",The Railway Children Return,"Follow a group of children who are evacuated to a Yorkshire village during the Second World War, where they encounter a young soldier who, like them, is far away from home.",/A2WRSXXo5c8ojPhARzN5aczv86H.jpg,/sbps2oKs5ixtNSQqEae3r4mBq7x.jpg,0,2022-07-15,457433,95,2022,dO3bG18PyzM
801965,"Crime, Drama, Thriller",Breaking,"Desperate for money and running out of options, Marine veteran Brian Brown-Easley holds several people hostage inside a bank, setting the stage for a tense confrontation with police.",/36FtYEYmqrp7kIQqjrYhWXBnXJm.jpg,/rKbgbzJbVM7MLjN7EwdO1QcIXCz.jpg,0,2022-08-25,2805642,103,2022,5Vi3EhaNOII
760741,"Thriller, Action, Horror, Adventure",Beast,"A recently widowed man and his two teenage daughters travel to a game reserve in South Africa. However, their journey of healing soon turns into a fight for survival when a bloodthirsty lion starts to stalk them.",/pz7bGOUNJXyPKJ2GcJN6nhwBnCs.jpg,/f18rGcLlawKjNC5KRh36S0mvRlY.jpg,0,2022-08-11,56000000,92,2022,oQMc7Sq36mI
635891,"Comedy, Drama",Clerks III,"After narrowly surviving a massive heart attack, Randal enlists his old friend Dante to help him make a movie immortalizing their youthful days at the little convenience store that started it all.",/zzXb1iaolyY468cg8tegWHglO0u.jpg,/apzIqZIQLc8fNx5nbbcSSfPFtax.jpg,7000000,2022-09-04,4717597,100,2022,uD3n3GM3Z_0
551271,"Action, Drama, History",Medieval,"The story of fifteenth century Czech icon and warlord, Jan Zizka, who defeated armies of the Teutonic Order and the Holy Roman Empire.",/maxRhndtC4BJABvqRPvYNu69CHA.jpg,/eeUNWsdoiOijOZAMaWFDA5Pb1n8.jpg,23000000,2022-09-08,4311284,126,2022,HNFk6FY5MRw
438148,"Animation, Comedy, Family, Adventure",Minions: The Rise of Gru,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.",/9dfHalOBi4fj2GY2YW9H7IuyaXC.jpg,/wKiOkZTN9lUUUNZLmtnwubZYONg.jpg,85000000,2022-06-29,940203765,87,2022,HhIl_XJ-OGA
982752,"Mystery, Thriller, Comedy, Horror",American Carnage,"After a governor issues an executive order to arrest the children of undocumented immigrants, the detained youth are offered an opportunity to have their charges dropped by volunteering to provide care to the elderly. Once inside the elder care facility, however, they discover more twisted secrets than they could have possibly imagined.",/vYDWXhE5ppOmr6xcMwUEtWd1dm4.jpg,/zQmwQqtT2KEfg5IO5u8lexZoCAR.jpg,0,2022-07-15,116699,101,2022,6tkqLPCg7x0
961484,"Action, Thriller",Last Seen Alive,"After Will Spann's wife suddenly vanishes at a gas station, his desperate search to find her leads him down a dark path that forces him to run from authorities and take the law into his own hands.",/nAHysRXM17o6TurhobGtL1MCDDH.jpg,/qvqyDj34Uivokf4qIvK4bH0m0qF.jpg,0,2022-05-12,5950199,95,2022,PE7Sla2xL7U
893086,"Thriller, Drama",The Good Neighbor,"A nightmarish evening unfolds for David, a former New York Times journalist, when he and his strange new neighbor Robert, accidentally hit a girl on her bike. Buzzed and disoriented, David lets Robert convince him to flee the scene and leave the girl for dead, in order to protect his career. Robert shows no remorse, and in the name of friendship he does unspeakable things to protect the secret. Now that the police are full-on hunting for the hit-and-run killer, things begin to spiral out of control when David’s local newspaper sends him to cover the story where he meets the deceased girl’s sister Vanessa. Despite the circumstances, and her deep desire to find her sister’s killer, the two immediately have a romantic connection, which surprises and haunts David, while pushing Robert to take brutal steps to keep his new friend to himself.",/AnmfRV7X0kwEn96pg0lAVopV8YK.jpg,/mXJ2xI7B0Z9WxDjyv18anPsOxeE.jpg,105,2022-06-17,94909,97,2022,8PlcazoFgaw
