id,genres,original_title,overview,backdrop_path,poster_path,budget,release_date,revenue,runtime
10060,"Drama, Crime, Music",Get Rich or Die Tryin',"A tale of an inner city drug dealer who turns away from crime to pursue his passion, rap music.",/bxJmFRjwWnpoLFkp5OSzA7xfzn6.jpg,/aaEJu8vFKtrAoSRtw3xjCf1aM5d.jpg,40000000,2005-11-09,46442528,117
848886,Horror,Hellbender,"A teen and her mother live simply in a home in the woods, spending their time making metal music. A chance encounter with a fellow teen causes her to uncover a connection between her family and witchcraft, which causes a rift with her mother.",/rJcswoyg0pw9oRJarbGC0sIazR1.jpg,/uLDYfeJ9BvrQsC3MBqMUjG4Hgaz.jpg,0,2021-09-28,67474,83
812204,"Animation, Comedy, Music, Family",Rock Dog 2: Rock Around the Park,"When Bodi and his band 'True Blue' leave Snow Mountain to tour with pop sensation Lil' Foxy, they learn that fame comes at a price.",/uljTV5en1IDNys7w7MLf5DAOTUD.jpg,/kETYRGA15L0wkVPugSl8lKmSgFn.jpg,0,2021-08-05,786528,90
774714,"Action, Thriller, Crime",Out of Death,"As Shannon, a woman who wants to put her father's ashes away in the woods witnesses a corrupt cop dealing drugs with a junkie, she has to try and run away after she gets rampaged by two discreditable cops after they see her taking secret photographs of their crime maneuver. They then do a cat-and-mouse game around the woods as Shannon teams up with a retired sheriff along the way for more reinforcement. It's just a diversion of survival and egalitarianism.",/cjcEZW4DzJgdzF3MeA9XhIdq4z5.jpg,/zan6xYKNGKgkp2hFajU398I1iTD.jpg,0,2021-07-16,95813,95
774021,"Drama, Horror, Science Fiction",Demonic,A young woman unleashes terrifying demons when supernatural forces at the root of a decades-old rift between mother and daughter are ruthlessly revealed.,/tFBVXnqmsmoSFR3rbltTfdGIMgV.jpg,/pUK9duiCK1PKqWA5rRQ4XBMHITH.jpg,0,2021-07-29,68581,104
749274,"Drama, Western",Cry Macho,A one-time rodeo star and washed-up horse breeder takes a job from an ex-boss to bring the man's young son home from Mexico.,/g6wufgtycJCP508tlC3crSYFCgC.jpg,/esrzqq7Ud8yoslFTu3J5HqTJVOQ.jpg,33000000,2021-09-16,16510734,104
682532,"Drama, Thriller, Horror",John and the Hole,"While exploring the neighboring woods, 13-year-old John discovers an unfinished bunker — a deep hole in the ground. Seemingly without provocation, he drugs his affluent parents and older sister and drags their unconscious bodies into the bunker, where he holds them captive. As they anxiously wait for John to free them from the hole, the boy returns home, where he can finally do what he wants.",/hwrR53NC0rQV24ESbqsQxj4nmht.jpg,/rLYJ7YaVqEkF7jYbQDprmSSkWWW.jpg,0,2021-08-06,25386,103
670429,"Horror, Fantasy",Witch Hunt,"In a modern America where witches are real and witchcraft is illegal, a sheltered teenager must face her own demons and prejudices as she helps two young witches avoid law enforcement and cross the southern border to asylum in Mexico.",/fpj4gZVOxD9D4sAyMwcHxq01HCo.jpg,/vHKlIci8f38GaAd361EW0VSx91k.jpg,0,2021-10-01,56415,92
649394,"History, Drama",Worth,"Kenneth Feinberg, a powerful D.C. lawyer appointed Special Master of the 9/11 Fund, fights off the cynicism, bureaucracy, and politics associated with administering government funds and, in doing so, discovers what life is worth.",/A2tQrEbK8T9gxa6kLW7Fc65EXlO.jpg,/xMFKTgRRCxfZGmFQVxBsQYAQufo.jpg,0,2021-07-21,106645,118
645788,"Action, Adventure, Thriller",The Protégé,"Rescued as a child by the legendary assassin Moody and trained in the family business, Anna is the world’s most skilled contract killer. When Moody, the man who was like a father to her and taught her everything she needs to know about trust and survival, is brutally killed, Anna vows revenge. As she becomes entangled with an enigmatic killer whose attraction to her goes way beyond cat and mouse, their confrontation turns deadly and the loose ends of a life spent killing will weave themselves ever tighter.",/fbTxsnJcQwuwzCEu9VEiU9lV75Y.jpg,/iQUj7MptHUlcXpaMLrqRNZRxGA9.jpg,0,2021-08-19,8639684,109
644089,Drama,Blue Bayou,"As a Korean-American man raised in the Louisiana bayou works hard to make a life for his family, he must confront the ghosts of his past as he discovers that he could be deported from the only country he has ever called home.",/wETWXzbvn0LhrPGLeRqyIeIl0E8.jpg,/a4xykTie8BOSW0y6K5u1AcmW4HW.jpg,0,2021-09-10,750000,117
630392,"Horror, Drama, Thriller",The Cursed,"In the late 19th century, a brutal land baron slaughters a Roma clan, unleashing a curse on his family and village. In the days that follow, the townspeople are plagued by nightmares, the baron's son goes missing, and a boy is found murdered. The locals suspect a wild animal, but a visiting pathologist warns of a more sinister presence lurking in the woods.",/hPurpFeAkvkvWYRVSDYGDaDSgva.jpg,/bewmBcjJxHeipS1PNu9Lfyvt3zY.jpg,0,2021-07-28,4588389,111
617502,"Action, Thriller",Jolt,A bouncer with an anger management problem goes on a furious and resentful rampage after the murder of a friend.,/wPjtacig0kIkVcTQmXoNt6jbMwo.jpg,/b0fBzqCmHr0a0XkeAdhc02XhKXG.jpg,0,2021-07-15,238524,91
616651,"Drama, Crime, Thriller",Stillwater,"Bill Baker, an American oil-rig roughneck from Oklahoma, travels to Marseille to visit his estranged daughter, Allison, who is in prison for a murder she claims she did not commit. Confronted with language barriers, cultural differences, and a complicated legal system, Bill builds a new life for himself in France as he makes it his personal mission to exonerate his daughter.",/70xJCPOvP16XnrtO9WSkCek12sv.jpg,/1lrPR7ah1KElPKnCsxmIRE1OlIh.jpg,20000000,2021-07-29,19754272,139
609242,"Comedy, Thriller, Crime",El robo del siglo,"In 2006, a group of thieves performed what is considered one of the most famous and smart bank heists in the history of Argentina. How they robbed the Rio bank is as surprising as what happened afterwards. This is their story.",/wEVSupeNO7EjjCFieEv2zt4oJei.jpg,/1zL4VCVin4S8kOXhszMDqfwWPCM.jpg,0,2020-01-16,7627100,114
597316,"Animation, Family, Fantasy, Comedy, Adventure",My Little Pony: A New Generation,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",/ewkYX7RWQMV6W1zfR0Ans0FissS.jpg,/uvbj8puRj37Pc8FS4rIfVeReYFF.jpg,0,2021-09-22,4100000,90
592863,"Drama, Music, History",Respect,The rise of Aretha Franklin’s career from a child singing in her father’s church’s choir to her international superstardom.,/gTtr2ovxRwHyOI3XrX6h6cgG7MD.jpg,/iUtPwOBZJc8uJnDqlCXTibdgxKz.jpg,55000000,2021-08-12,31217372,145
574060,"Action, Crime, Thriller",Gunpowder Milkshake,"To protect an 8-year-old girl, a dangerous assassin reunites with her mother and her lethal associates to take down a ruthless crime syndicate and its army of henchmen.",/bOYso1vEWhcus8P97lTj2Vw1wkB.jpg,/56ofGPMOZCwlTjTao5fB7vnGOoj.jpg,30000000,2021-07-14,1015760,114
547565,"Drama, Horror, Mystery, Thriller",The Night House,"Reeling from the unexpected death of her husband, Beth is left alone in the lakeside home he built for her. Soon she begins to uncover her recently deceased husband's disturbing secrets.",/gjq5xQuluKEupimlqwCyaUbOCi9.jpg,/rqs2CXpc4d5FzeP1EZCYItAVo81.jpg,0,2021-07-15,14600000,107
536869,"Fantasy, Comedy, Drama",Cats,A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.,/rXSDDbT43pcTjppu1qTxs1cOwla.jpg,/aCNch5FmzT2WaUcY44925owIZXY.jpg,95000000,2019-12-19,77276321,110
482373,"Thriller, Horror",Don't Breathe 2,"The Blind Man has been hiding out for several years in an isolated cabin and has taken in and raised a young girl orphaned from a devastating house fire. Their quiet life together is shattered when a group of criminals kidnap the girl, forcing the Blind Man to leave his safe haven to save her.",/pUc51UUQb1lMLVVkDCaZVsCo37U.jpg,/r7HEBkkRN93d3eFBZgPJfRaob5p.jpg,15000000,2021-08-12,53785551,98
459151,"Animation, Comedy, Adventure, Family",The Boss Baby: Family Business,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,/yBov7O4eXDcBLDpZrOHZzFr8rIl.jpg,/kv2Qk9MKFFQo4WQPaYta599HkJP.jpg,82000000,2021-07-01,146745280,107
458897,"Action, Adventure, Comedy",Charlie's Angels,"Elena Houghlin is a scientist, engineer and inventor of Calisto -- a sustainable energy source that will revolutionize the way people use power. It will be ready as soon as she works out the last issue, if not it could be turned into a dangerous weapon. But when the cutting edge technology is pushed to an investor before she can do that, Elena turns to the Townsend Agency for help. Now, it's up to the Angels -- Jane, Sabina, and the newly recruited Elena -- to retrieve Calisto before it can be transformed into a weapon of mass destruction.",/a0xTB1vBxMGt6LGG4N7k1wO9lfL.jpg,/1DPUFG6QnGqzpvEaDEv7TaepycM.jpg,48000000,2019-11-14,73279888,118
817451,"Thriller, Action, Adventure",Endangered Species,"Jack Halsey takes his wife, their adult kids, and a friend for a dream vacation in Kenya. But as they venture off alone into a wilderness park, their safari van is flipped over by an angry rhino, leaving them injured and desperate. Then, as two of them go in search of rescue, a bloody, vicious encounter with a leopard and a clan of hyenas incites a desperate fight for survival.",/A0xW7GgeFQoQmPOn7HcHkBQ5nlb.jpg,/ccsSqbpEqr2KK9eMvoeF8ERFCd5.jpg,0,2021-05-27,68152,101
