id,genres,original_title,overview,backdrop_path,poster_path,budget,release_date,revenue,runtime,year,trailer,thumbnail,tags,viewCount,likeCount,favoriteCount,commentCount
9890,"Comedy, Science Fiction, Horror",The Stepford Wives,"What does it take to become a Stepford wife, a woman perfect beyond belief? Ask the Stepford husbands, who've created this high-tech, terrifying little town.",/rjUeBEhX3xZ5gN5RNcCwUDGHCqx.jpg,/ygr0Wlmm1KmE16TUefNitIscVBG.jpg,90000000,2004-06-10,102000000,93,2004,8QEalR9-X8A,https://i.ytimg.com/vi/8QEalR9-X8A/sddefault.jpg,"""Bande Annonce,HD trailer,HD teaser,official trailer,original trailer,scene,予告編 트레일러,Teaser,Trailers,Theatrical Trailer,Movie trailer,The Stepford Wives trailer,The Stepford Wives""",24548,86,0,3
322,"Thriller, Crime, Drama, Mystery",Mystic River,The lives of three men who were childhood friends are shattered when one of them suffers a family tragedy.,/4ycpMe25LYpzGW42U9amyW9gM53.jpg,/hCHVDbo6XJGj3r2i4hVjKhE0GKF.jpg,25000000,2003-10-07,156800000,138,2003,W7NktJhrRYQ,https://i.ytimg.com/vi/W7NktJhrRYQ/sddefault.jpg,"""mystic river,mystic river trailer,mystic river sean penn,mystic river original trailer""",2339096,9333,0,713
591538,"Drama, War",The Tragedy of Macbeth,"Macbeth, the Thane of Glamis, receives a prophecy from a trio of witches that one day he will become King of Scotland. Consumed by ambition and spurred to action by his wife, Macbeth murders his king and takes the throne for himself.",/lMjY6kMBOHhloz2Ul16fLJn8xuw.jpg,/tDNJEhcLbX3jIk3BMCur9pCdaVD.jpg,0,2021-12-05,176248,105,2021,ptqe7s6pO7g,https://i.ytimg.com/vi/ptqe7s6pO7g/sddefault.jpg,"""the tragedy of macbeth,tragedy of macbeth,macbeth,trailer,teaser,official trailer,official teaser,tragedy of macbeth teaser,tragedy of macbeth trailer,lord macbeth,lady macbeth,shakespeare,william shakespeare,denzel washington,brendan gleeson,frances mcdormand,corey hawkins,harry melling,joel coen,american,play,film,movie,tragedy of macbeth apple tv,apple tv,apple,tv,apple tv+,apple tv app,apple original,apple original film,apple tv youtube,drama""",1080863,9303,0,137
68735,"Action, Adventure, Fantasy",Warcraft,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",/aTGvZ3F8QnAD8cPpJRaaqRRxFK6.jpg,/nZIIOs06YigBnvmlJ2hxZeA8eTO.jpg,160000000,2016-05-25,433677183,123,2016,65AjY_nRdqE,https://i.ytimg.com/vi/65AjY_nRdqE/sddefault.jpg,"""Trailer (Website Category),Warcraft (Fictional Universe),Warcraft (Movie),Duncan Jones (Film Director),Travis Fimmel (Film Actor),Paula Patton (Film Actor),Ben Foster (Celebrity),Dominic Cooper (Film Actor),Rob Kazinsky (Film Actor),World Of Warcraft (Video Game),Trailer,High-definition Video (Film Format),Blizzard Entertainment (Video Game Developer),Toby Kebbell (Film Actor),Ben Schnetzer,Daniel Wu (Film Actor),Warcraft (Film)""",6469463,25111,0,5833
38700,"Thriller, Action, Crime",Bad Boys for Life,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",/eAIHqfS3kXm7kZl4j7ZBfdegyEz.jpg,/y95lQLnuNKdPAzw9F9Ab8kJ80c3.jpg,90000000,2020-01-15,426505244,124,2020,R228yPrwqTo,https://i.ytimg.com/vi/R228yPrwqTo/sddefault.jpg,"""bad boys film,bad boys sequel,bad boys for life,official trailer,will smith,martin lawrence,sony trailer,vanessa hudgens,alexander ludwig,charles melton,paola nunez,kate del castillo,nicky jam,joe pantoliano,bad boys for life official trailer,bad boys for life trailer,full trailer,movie trailer 2020,bad boys for life movie,bad boys for life sony,Bad Boys for Life Official Trailer,Bad Boys for Life Song,Bad Boys for Life Martin Lawrence,HD Trailer""",6556525,51361,0,2401
8051,"Romance, Drama, Comedy",Punch-Drunk Love,A socially awkward and volatile small business owner meets the love of his life after being threatened by a gang of scammers.,/l9WzjwHwF7I2DwCtK8DXVQExGjH.jpg,/htYp4yqFu4rzBEIa6j9jP8miDm3.jpg,25000000,2002-10-11,24665649,96,2002,Nqv_gYTVSUo,,,94845,412,0,
423108,"Horror, Mystery, Thriller",The Conjuring: The Devil Made Me Do It,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",/qi6Edc1OPcyENecGtz8TF0DUr9e.jpg,/xbSuFiJbbBWCkyCCKIMfuDCA4yV.jpg,39000000,2021-05-25,206431050,111,2021,tLFnRAzcaEc,https://i.ytimg.com/vi/tLFnRAzcaEc/sddefault.jpg,,7044538,73894,0,2404
345887,"Action, Thriller, Crime",The Equalizer 2,"Robert McCall, who serves an unflinching justice for the exploited and oppressed, embarks on a relentless, globe-trotting quest for vengeance when his former partner is murdered.",/z7noaCJ4KtmhwHw7QcNtnMMo4Qy.jpg,/cQvc9N6JiMVKqol3wcYrGshsIdZ.jpg,62000000,2018-07-19,190400157,121,2018,EiaVnU18pcs,https://i.ytimg.com/vi/EiaVnU18pcs/sddefault.jpg,"""Sony,Sony Pictures,The Equalizer II,The Equalizer 2,The Equalizer 2 Trailer,Official Trailer,Trailer,The Equalizer 2 (2018),Antoine Fuqua,Denzel Washington,Pedro Pascal,Bill Pullman,Melissa Leo,The Equalizer Sequel,Michael Sloan,The Equalizer 2 Trailer 2018,#TheEqualizer2,film,action""",3407051,13819,0,866
132363,Drama,The Butler,"A look at the life of Cecil Gaines, who served eight presidents as the White House's head butler from 1952 to 1986, and had a unique front-row seat as political and racial history was made.",/g0nLh5eQjTcffJUavvatBNkaSpy.jpg,/qyWvpylSqs7wmA4TrUIrGCgWJtv.jpg,25000000,2013-08-16,177313795,132,2013,eZ4xDTz8Avc,https://i.ytimg.com/vi/eZ4xDTz8Avc/sddefault.jpg,"""movieclips,movie clips,movieclipstrailers,new trailers,trailers HD,hd,trailers,movieclipsDOTcom,trailer,2013,official,HD,zefr,the butler,the butler trailer,forest whitaker,robin williams,oprah winfrey,white house,president,eugene allen,politics,racial,history,historical,zedison,John Cusack,james marsden,Alan Rickman,melissa leo,jfk,president of the united states""",983090,4547,0,955
22970,"Horror, Mystery",The Cabin in the Woods,A group of teens journey to a remote cabin in the woods where their fate is unknowingly controlled by technicians as part of a worldwide conspiracy where all horror movie clichés are revealed to be part of an elaborate sacrifice ritual.,/dWLoSzvw52y1gt7ni9gZXdy693e.jpg,/zZZe5wn0udlhMtdlDjN4NB72R6e.jpg,30000000,2012-04-12,71038838,95,2012,7NiAWF7VIFY,https://i.ytimg.com/vi/7NiAWF7VIFY/sddefault.jpg,"""cabin in the woods,trailer,movie,film,horror,lionsgate,lionsgatelive,horrorfilm,joss whedon,drew goddard,Kristen Connolly,Chris Hemsworth,Anna Hutchison,Fran Kranz,Jesse Williams,Richard Jenkins,Bradley Whitford""",436472,1888,0,82
